sample,total_SRBD_count
X60909145,196
X61008344,255210
X61106264,319
X61106369,2642
X61106461,136
X61205146,8928
X61307505,72818
X61307527,84364
X61402838,4087
X61402948,129683
X61403799,194824
X61403951,216801
X61404053,315925
X61404278,1384
X61404308,78676
X61404345,108641
X61404348,292286
X61404349,1556
X61404352,194674
X61404647,950
X61404776,78988
X61404806,23550
X61404944,96418
X61404964,11627
X61404967,16732
X61405008,789
X61405031,20171
X61405052,298110
X61405101,7900
X61405197,141800
X61405295,76023
X61405373,143309
X61405493,143648
X61405547,367030
X61405756,44428
X61406109,115861
X61406209,196942
X61406354,136054
X61406415,421911
X61406605,288861
X61406740,155971
X61406797,54093
X61406819,39121
X61406842,5957
X61406843,383552
X61406968,137241
X61406987,101389
X61407103,112918
X61407149,20101
X61407171,112
X61407213,226
X61407257,84503
X61407258,1512
X61407339,107410
X61407350,66649
X61407549,315773
X61407669,156835
X61407676,143547
X61407788,589
X61408017,130
X61408948,353863
X61409032,6916
X61409481,132
X61409772,19473
X61409814,51427
X61409819,254
X61409820,146123
X61409821,126345
X61409822,1044
X61409823,120301
X61409825,63036
X61409841,305
X61500245,18057
X61500250,57601
X61500257,131831
X61500335,275197
X61500338,38065
X61500402,364
X61500408,90612
X61500443,308
X61500446,185852
X61500449,450
X61500453,107993
X61500455,190859
X61500458,222
X61500472,199371
X61500487,72766
X61500491,422
X61500504,39317
X61500520,83006
X61500524,103847
X61500527,54910
X61500585,162990
X61500589,266300
X61500641,188041
X61500643,102280
X61500644,255415
X61500648,10582
X61500650,85143
X61500654,53656
X61500660,191470
X61500661,8422
X61500666,159103
X61500668,70071
X61500671,76363
X61500746,76497
X61501897,80379
X61501909,223
X61501971,39821
X61501986,1167
X61502455,170096
X61502522,206985
X61502949,69069
X61503363,303073
X61503547,204746
X61503667,38202
X61503680,152019
X61503805,7330
X61503961,679
X61504477,55669
X61505075,204042
X61505407,76207
X61505474,31186
X61505589,72853
X61505664,157746
X61506297,134
X61506347,176654
X61506487,304148
X61506489,421
X61506706,234895
X61506710,311495
X61506730,55839
X61506737,229677
X61506739,273571
X61506747,173274
X61506757,140956
X61506923,228972
X61508862,1261
X61508870,51048
X61508871,187353
X61508900,15342
X61508902,19276
X61508906,284
X61509058,146768
X61602315,206590
X61602942,118198
X61603248,416
X61603722,537676
X61603801,5738
X61603808,106447
X61604740,294
X61604908,119714
X61605073,148
X61605741,181
X61605971,130553
X61606302,150384
X61606335,158644
X61606336,110446
X61606342,292650
X61606502,141111
X61606742,180151
X61607139,263788
X61607245,129627
X61607392,187679
X61607879,49095
X61607885,156162
X61607890,309801
X61607984,2521
X61608015,303986
X61608057,62799
X61608204,210
X61608384,72525
X61608579,302
X61608624,337
X61609080,343756
X61609149,239342
X61609873,230102
X61700583,193830
X61700624,192688
X61700640,208741
X61700666,128484
X61700747,318858
X61701438,346426
X61701518,293377
X61701599,278087
X61702489,132383
X61704026,290371
X61704380,8
X61704849,201701
X61705085,338583
X61705287,98758
X61705789,376
X61707632,291945
